rn,D08,R08,D16,R16
1226,1873,68,309,12
1227,2319,43,1638,55
1228,1864,88,1093,44
1229,785,16,0,0
1230,537,15,855,26
1231,847,1,0,0
1232,852,1,943,25
1233,1305,9,757,18
1234,912,9,1382,28
1235,979,6,616,3
1236,679,4,646,9
1237,246,4,0,0
1238,1327,159,0,0
1239,1396,172,1765,146
1240,1489,350,1049,188
1241,1152,161,1857,108
1242,731,94,0,0
1243,706,10,1038,54
1244,1086,55,355,19
1245,491,9,541,20
1246,668,48,543,101
1247,620,91,310,36
1248,1445,34,971,23
1249,975,26,485,18
1250,756,5,501,5
1251,385,6,530,9
1252,836,251,0,0
1253,1553,502,2330,489
1254,781,409,745,318
1255,695,278,650,237
1256,569,31,285,20
1257,320,101,290,95
1258,1671,131,1294,79
1259,471,7,1091,29
1260,1319,22,167,2
1261,920,5,1564,18
1262,1604,8,666,9
1263,566,1,474,9
1264,1253,8,757,6
1265,595,3,0,0
1266,997,2,764,15
1267,1038,8,1445,29
1268,782,3,0,0
1269,808,6,0,0
1270,3107,35,401,13
1271,1367,16,2068,46
1272,3223,42,1644,45
1273,1648,11,1013,20
1274,1572,8,747,15
1275,1208,8,0,0
1276,0,0,1090,22
1277,1444,10,0,0
1278,375,4,0,0
1279,1469,15,1588,26
1280,2265,13,557,4
1281,1413,7,864,14
1282,1808,12,0,0
1283,1058,8,480,9
1284,0,0,0,0
1285,1300,30,922,21
1286,643,4,0,0
1287,0,0,194,4
1288,620,2,296,4
1289,723,43,428,37
1290,731,3,475,7
1291,0,0,0,0
1292,777,100,690,74
1293,0,0,0,0
1294,1096,11,595,7
1295,332,11,0,0
1296,1160,9,0,0
1297,745,132,399,58
1298,798,67,1017,98
1299,1913,15,1174,18
1300,1224,33,692,46
1301,293,17,0,0
1302,671,79,895,124
1303,739,175,555,107
1304,1230,498,814,262
1305,392,87,344,64
1306,474,231,429,175
1307,1322,821,0,0
1308,742,556,1015,598
1309,875,455,606,208
1310,308,157,578,208
1311,0,0,1385,668
1312,1374,58,0,0
1313,0,0,1611,92
1314,1710,516,496,414
1315,768,5,0,0
1316,1837,16,472,3
1317,898,140,653,117
1318,466,494,0,0
1319,0,0,1314,33
1320,787,29,566,18
1321,0,0,378,469
1322,153,142,565,438
1323,743,288,310,43
1324,339,195,546,282
1325,533,213,0,0
1326,632,258,2117,288
1327,681,79,0,0
1328,1620,130,1627,153
1329,2180,93,563,18
1330,1458,48,351,6
1331,1788,68,1158,49
1332,2339,96,1351,53
1333,103,8,182,4
1334,0,0,262,368
1335,3032,299,463,19
1336,0,0,0,0
1337,370,352,0,0
1338,841,577,1138,749
1339,277,271,0,0
1340,846,348,63,77
1341,0,0,248,155
1342,0,0,151,87
1343,753,595,553,353
1344,931,245,654,187
1345,0,0,356,196
1346,339,72,0,0
1347,1075,156,0,0
1348,1232,168,1019,170
1349,951,139,805,162
1350,251,73,0,0
1351,2081,318,2406,409
1352,995,275,708,181
1353,1025,710,885,544
1354,1619,559,0,0
1355,2086,463,0,0
1356,0,0,0,0
1357,0,0,1774,499
1358,1500,331,968,251
1359,1435,82,729,86
1360,2281,44,1303,61
1361,1893,53,999,33
1362,1231,129,0,0
1363,2956,116,2367,93
1364,1949,18,0,0
1365,2326,58,1505,44
1366,1402,36,891,37
1367,604,12,210,2
1368,1763,25,0,0
1369,686,124,419,55
1370,305,130,516,68
1371,1918,793,1408,458
1372,1345,455,1044,243
1373,1322,334,1042,197
1374,1390,292,1329,237
1375,392,105,280,80
1376,1246,10,490,10
1377,3108,82,900,24
1378,993,4,0,0
1379,1114,9,1167,15
1380,1323,240,511,92
1381,1055,889,949,971
1382,856,929,0,0
1383,605,618,0,0
1384,826,433,0,0
1385,860,333,1513,885
1386,781,34,0,0
1387,3098,36,552,13
1388,2226,21,1750,60
1389,1096,37,660,30
1390,853,12,0,0
1391,1273,62,1224,117
1392,1268,35,0,0
1393,1743,264,1074,1551
1394,1005,22,628,9
1395,862,15,833,20
