rn,D04,R04,D08,R08,D12,R12,D16,R16
590,450.0,42.0,495.0,18.0,615.0,10.0,437.0,12.0
591,616.0,54.0,660.0,20.0,712.0,22.0,540.0,17.0
592,1352.0,117.0,1511.0,50.0,1617.0,51.0,1223.0,31.0
593,566.0,85.0,656.0,40.0,675.0,31.0,516.0,18.0
594,1317.0,163.0,1393.0,76.0,1868.0,79.0,532.0,32.0
595,772.0,126.0,690.0,50.0,583.0,36.0,1287.0,62.0
596,1783.0,502.0,2006.0,297.0,1900.0,201.0,1581.0,135.0
597,1499.0,238.0,1755.0,134.0,1947.0,138.0,1588.0,109.0
598,1582.0,421.0,1783.0,222.0,2017.0,202.0,1690.0,150.0
599,2089.0,738.0,2507.0,477.0,2364.0,388.0,1932.0,284.0
600,2055.0,1731.0,2445.0,1291.0,3173.0,1406.0,2936.0,1035.0
601,1430.0,287.0,1578.0,154.0,702.0,69.0,557.0,63.0
602,1596.0,248.0,1782.0,117.0,2327.0,112.0,1844.0,105.0
603,702.0,116.0,713.0,87.0,1840.0,126.0,1551.0,102.0
604,1009.0,115.0,1114.0,41.0,801.0,26.0,671.0,25.0
605,967.0,61.0,999.0,24.0,1154.0,22.0,944.0,24.0
606,668.0,31.0,744.0,14.0,925.0,6.0,656.0,10.0
607,1758.0,102.0,1862.0,42.0,2058.0,42.0,1511.0,49.0
608,797.0,37.0,860.0,13.0,985.0,12.0,732.0,19.0
609,3067.0,142.0,3223.0,47.0,3467.0,54.0,2610.0,56.0
610,2177.0,286.0,2309.0,149.0,1462.0,93.0,1081.0,70.0
611,1696.0,86.0,1691.0,21.0,905.0,11.0,610.0,16.0
612,847.0,32.0,929.0,13.0,1828.0,19.0,1364.0,20.0
613,1732.0,54.0,1662.0,11.0,1887.0,17.0,1338.0,20.0
614,3149.0,220.0,3234.0,78.0,2813.0,67.0,2164.0,62.0
615,783.0,133.0,784.0,87.0,2424.0,297.0,1871.0,232.0
616,1975.0,524.0,2156.0,375.0,1550.0,180.0,1345.0,135.0
617,2603.0,1167.0,2960.0,802.0,2824.0,570.0,2459.0,373.0
618,527.0,403.0,665.0,311.0,1345.0,653.0,1258.0,468.0
619,547.0,447.0,577.0,328.0,0.0,0.0,0.0,0.0
620,1190.0,1262.0,1305.0,1051.0,997.0,766.0,885.0,587.0
621,657.0,860.0,729.0,780.0,706.0,696.0,685.0,501.0
622,469.0,540.0,502.0,457.0,1013.0,848.0,1101.0,618.0
623,1186.0,1196.0,1357.0,945.0,851.0,530.0,805.0,358.0
624,0.0,0.0,0.0,0.0,393.0,234.0,399.0,168.0
625,2123.0,575.0,2289.0,356.0,2450.0,306.0,1883.0,228.0
626,738.0,66.0,766.0,34.0,252.0,5.0,204.0,6.0
627,1076.0,98.0,1202.0,39.0,1394.0,44.0,1042.0,32.0
628,1400.0,86.0,799.0,22.0,1650.0,54.0,1170.0,50.0
629,1277.0,25.0,1228.0,13.0,1343.0,6.0,898.0,13.0
630,1130.0,22.0,1053.0,15.0,924.0,7.0,527.0,6.0
631,1766.0,41.0,1738.0,12.0,1687.0,10.0,1145.0,11.0
