,State,CD,Session,black_vap_frac,hispanic_vap_frac,total_minority_vap_frac,max_minority_vap_frac,Ethnicity,Name,Delegate,BRep,HRep,MRep,const
528,12,6,114,0.08611731689490161,0.06044433411939928,0.14656165101430088,0.08611731689490161,,,,0,0,0,1
965,12,6,115,0.09480507062950083,0.10020817292611288,0.1950132435556137,0.10020817292611288,,,,0,0,0,1
93,12,7,113,0.08031373158232495,0.1749676818002763,0.25528141338260124,0.1749676818002763,,,,0,0,0,1
529,12,7,114,0.08380649354359501,0.1853073934407496,0.26911388698434463,0.1853073934407496,,,,0,0,0,1
966,12,7,115,0.100476326941045,0.21640911549698924,0.31688544243803424,0.21640911549698924,,,,0,0,0,1
94,12,8,113,0.08682985968728271,0.07760345165718767,0.1644333113444704,0.08682985968728271,,,,0,0,0,1
530,12,8,114,0.08877490041586128,0.08251858056895707,0.17129348098481836,0.08877490041586128,,,,0,0,0,1
967,12,8,115,0.08976201557920795,0.08641192325986999,0.17617393883907795,0.08976201557920795,,,,0,0,0,1
95,12,9,113,0.10840651600527516,0.4205112546457259,0.5289177706510011,0.4205112546457259,,,,0,0,0,1
531,12,9,114,0.10694073678590496,0.4398255917423029,0.5467663285282078,0.4398255917423029,,,,0,0,0,1
968,12,9,115,0.1243830190595484,0.3629422119909272,0.4873252310504757,0.3629422119909272,H,"SOTO, Darren Michael",0.0,0,1,1,1
96,12,10,113,0.1088421463899118,0.13725218127942834,0.2460943276693401,0.13725218127942834,,,,0,0,0,1
532,12,10,114,0.11202490881469608,0.14878256242955454,0.26080747124425063,0.14878256242955454,,,,0,0,0,1
969,12,10,115,0.2646741679604408,0.2450711099803208,0.5097452779407616,0.2646741679604408,B,"DEMINGS, Valdez Butler",0.0,1,0,1,1
97,12,11,113,0.07546566249769646,0.07422783648179249,0.14969349897948894,0.07546566249769646,,,,0,0,0,1
533,12,11,114,0.07589287229457065,0.07819738731125207,0.15409025960582273,0.07819738731125207,,,,0,0,0,1
970,12,11,115,0.06515776487403092,0.0824653725617378,0.14762313743576871,0.0824653725617378,,,,0,0,0,1
98,12,12,113,0.04038965591776756,0.09953554438666247,0.13992520030443004,0.09953554438666247,,,,0,0,0,1
534,12,12,114,0.04286214291171198,0.10602450737406524,0.14888665028577724,0.10602450737406524,,,,0,0,0,1
971,12,12,115,0.04214100735082818,0.10110406956675516,0.1432450769175833,0.10110406956675516,,,,0,0,0,1
99,12,13,113,0.04938237445591366,0.07152627783551775,0.1209086522914314,0.07152627783551775,,,,0,0,0,1
535,12,13,114,0.05029016194846065,0.07785812093112643,0.12814828287958707,0.07785812093112643,,,,0,0,0,1
972,12,13,115,0.11070318207301948,0.07903365556140739,0.1897368376344269,0.11070318207301948,,,,0,0,0,1
100,12,14,113,0.2437657094135337,0.2566532082806989,0.5004189176942326,0.2566532082806989,,,,0,0,0,1
